question,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
36. Que diriez-vous en parlant de l’élu(e) de votre cœur?,A. Nous nous plaisîmes immédiatement.,B. Nous nous plaisâmes immédiatement.,C. Nous nous plûmes immédiatement.,,,,,,,36. c. Le verbe plaire a un passé simple en u. Le passé simple en a est exclusivement réservé aux verbes en -er (1er groupe).,
"37. Parmi ces affirmations, laquelle est vraie?","A. Aux temps composés, être et avoir se conjuguent avec l’auxiliaire avoir.","B. Aux temps composés, être et avoir se conjuguent avec l’auxiliaire être.","C. Aux temps composés, être se conjugue avec l’auxiliaire être et avoir avec l’auxiliaire avoir.","D. Aux temps composés, être se conjugue avec l’auxiliaire avoir et avoir avec l’auxiliaire être.",,,,,,"37. a. Par exemple, j’ai eu envie de rire et j’avais été malade. 38. a. 2e groupe (nous gravissons) b. 3e groupe (nous partons) c. 2e groupe (nous assortissons) d. 2e groupe (nous déguerpissons)",
41. Laquelle de ces phrases est correctement écrite?,A. Cela vous mettra en valeur.,B. Cela vous mettera en valeur.,,,,,,,,41. a. Il s’agit du verbe mettre et non du verbe *metter. ,
44. Comment nomme-t-on le temps composé qui correspond au futur simple?,A. le futur composé,B. le futur antérieur,C. le futur postérieur,,,,,,,44. b. Le futur antérieur est formé de l’auxiliaire au futur et du participe passé (il aura mangé).,
"45. Quel est l’infinitif de cherra («Tire la chevillette, la bobinette cherra»)?",A. cherrer,B. choyer,C. choir,,,,,,,45. c. Choir est maintenant surtout utilisé dans la langue littéraire et largement remplacé par tomber dans la langue courante.,
49. Laquelle de ces phrases est correcte?,"A. En voyant le loup, ils s’enfuirent à toutes jambes.","B. En voyant le loup, ils s’enfuyèrent à toutes jambes.",,,,,,,,49. a. S’enfuir est un verbe du 3e groupe. La terminaison -èrent du passé simple est réservée exclusivement aux verbes en -er (1er groupe).,
50. Laquelle de ces affirmations est vraie?,A. Les verbes dont l’infinitif se termine par -cer s’écrivent parfois avec une cédille parce que c’est plus joli.,B. Les verbes dont l’infinitif se termine par -cer s’écrivent parfois avec une cédille pour montrer que le c se prononce [s].,C. Le c des verbes dont l’infinitif se termine par -cer ne prend jamais de cédille puisqu’il n’y en a pas à l’infinitif.,,,,,,,"50. b. Devant les terminaisons qui commencent par a ou o, il faut écrire ç:",
"52. Pour lesquels de ces verbes la 3e personne du singulier, au présent de l’indicatif, se termine-t-elle par un d?",A. coudre,B. peindre,C. prendre,D. dissoudre,E. mordre,F. tordre,G. craindre,,,"52. a. coudre, c. prendre, e. mordre, f. tordre (Les verbes dont l’infinitif se termine par -soudre ou -indre, comme peindre, dissoudre et craindre, perdent leur d au présent: il peint, il dissout, il craint.)",
53. Un intrus s’est glissé parmi ces verbes. Quel est-il?,A. s’obstiner,B. se réfugier,C. se plaindre,D. se raviser,E. s’exclamer,,,,,"53. c. Se plaindre. (Le verbe plaindre peut être employé sans le pronom se, car il est occasionnellement pronominal, ce qui n’est pas le cas des autres verbes qui sont, eux, essentiellement pronominaux.)",
58. Entourez la lettre des phrases qui ne sont pas à la forme passive.,A. La banque est placée sous vidéosurveillance.,B. Le malfaiteur est entré par la cave.,"C. Heureusement, il est arrêté dans son élan.",D. Il est donc reparti sans un sou.,,,,,,58. b.  Le malfaiteur est entré par la cave. et d. Le verbe de ces phrases est au passé composé.,
60. Quel est l’intrus?,A. il mira,B. il tira,C. il dira,D. il vira,E. il cira,,,,,60. c. Il dira. (C’est le futur du verbe dire; tous les autres verbes sont au passé simple.),
61. Comment sont formés les temps composés?,A. un auxiliaire suivi d’un participe passé,B. un auxiliaire suivi d’un participe présent,,,,,,,,"61. a. Dans les temps composés (passé composé, plus-que-parfait…), l’auxiliaire être ou avoir est suivi du participe passé: j’ai mangé.",
"62. Parmi ces verbes, quel est l’intrus?",A. interdire,B. contredire,C. redire,D. prédire,E. médire,,,,,"62. c. Redire. (Contrairement aux autres verbes, il a une 2e personne du pluriel du présent de l’indicatif et de l’impératif en -tes [vous redites] et non en -ez [vous interdisez].)",
72. Je sus est une forme:,A. du verbe suer,B. du verbe savoir,C. des verbes suer et savoir,,,,,,,"72. b. C’est le passé simple de savoir, à ne pas confondre avec je sue (présent de l’indicatif ou du subjonctif de suer).",
74. Quel est l’intrus?,A. je ferai,B. je parai,C. je verrai,D. je tairai,,,,,,74. b. Je parai. (C’est le passé simple de parer; tous les autres verbes sont au futur.),
76. Quelle est la forme correcte de vaincre à la 3e personne du singulier du présent de l’indicatif?,A. il vaint,B. il vainc,C. il vainct,,,,,,,"76. b. Vaincre garde le c du radical dans sa conjugaison (et s’écrit avec qu lorsqu’il est suivi d’une voyelle, sauf le u).",
81. Qu’appelle-t-on un verbe essentiellement pronominal?,A. un verbe qui peut être employé comme un nom,B. un verbe qui se conjugue toujours avec un pronom complément,C. un verbe qui se conjugue sans pronom sujet,,,,,,,"81. b. S’enfuir, s’écrouler, se méfier… sont des verbes essentiellement pronominaux.",
"82. Ces noms sont formés à partir de participe passé d’anciens verbes, sauf un.",A. issue,B. tissu,C. chute,D. fétu,,,,,,"82. d. Fétu vient du latin festucum. Issue vient de issir qui signifiait «sortir», tissu de tistre, ancienne forme de tisser, et chute de choir («tomber»).",
87. Que peut-on dire?,A. assois-toi,B. assis-toi,C. assieds-toi,,,,,,,"87. a. assois-toi
 et c.  assieds-toi
"," Le verbe asseoir a deux conjugaisons: l’une en oi/oy, l’autre en"
93. À quel temps est conjugué aimer dans aimé-je?,A. au présent,B. au passé simple,D. cette forme n’existe pas,,,,,,,"93. a. Lorsqu’on inverse le pronom sujet je au présent, on accentue le e.",ie/ey.
94. Laquelle de ces phrases est correctement écrite?,"A. J’aurais aimé qu’il passât nous voir, ne fusse qu’un court instant.","B. J’aurais aimé qu’il passât nous voir, ne fût-ce qu’un court instant.",,,,,,,,"94. b. Ne fût-ce est l’équivalent de ne serait-ce. À l’imparfait du subjonctif, fût est la 3e personne du singulier, et fusse est la 1re",
99. Quel est le participe passé du verbe dissoudre?,A. dissolu,B. dissous,,,,,,,,99. b. Dissolu est un adjectif qui signifie «qui s’adonne à la débauche».,
100. Je moulerai est le futur:,A. du verbe mouler,B. du verbe moudre,C. des verbes mouler et moudre,,,,,,,100. a. Le futur de moudre est je moudrai.,
3. Que diriez-vous?,A. Je n’ai rien dit pour ne pas qu’il soit déçu.,B. Je n’ai rien dit pour qu’il ne soit pas déçu.,,,,,,,,3. b. La négation ne… pas encadre le verbe conjugué. (À ne pas confondre avec pour ne pas devant un infinitif: je n’ai rien dit pour ne pas le décevoir.),
7. Quelle est la phrase correcte? (Il y a peut-être plusieurs réponses.),A. Il confrontera ta version et la mienne.,B. Il confrontera ta version à la mienne.,C. Il confrontera ta version avec la mienne.,,,,,,,7. Les trois phrases sont correctes.,
8. Quelle est la phrase correctement écrite?,A. Ces murs ont l’air sain.,B. Ces murs ont l’air sains.,,,,,,,,8. b. Avoir l’air signifie ici «paraître» et non «afficher un air»: sain se rapporte donc à murs et non à air.,
15. Quelle est la phrase correcte? (Il y a peut-être plusieurs réponses.),"A. Je voudrais des fraises, achètes-en-moi.","B. Je voudrais des fraises, achète-moi-s-en.","C. Je voudrais des fraises, achète-m’en.",,,,,,,15. c. Attention à l’ordre des pronoms: le pronom complément en est toujours placé après les autres pronoms personnels.,
21. Les deux phrases suivantes sont correctes et ont le même sens: vrai ou faux?,A. C’est une erreur qu’on commet souvent.,B. C’est une erreur que l’on commet souvent.,,,,,,,,"21. Vrai. L’emploi de l’ devant on, plus soutenu, n’est jamais obligatoire.",
27. Quelle est la phrase correcte? (Il y a peut-être plusieurs réponses.),A. Je vais vous expliquer qu’est-ce qu’il s’est passé.,B. Je vais vous expliquer ce qu’il s’est passé.,C. Je vais vous expliquer ce qui s’est passé.,,,,,,,"27. b. et c. Avec le verbe se passer utilisé de façon impersonnelle, on peut utiliser indifféremment ce qu’il et ce qui.",
33. Quelle est la phrase correcte?,A. La revue comporte quatre-vingt pages.,B. La revue comporte quatre-vingts pages.,,,,,,,,33. b. Le cardinal quatre-vingts s’écrit avec un s quand il n’est suivi d’aucun autre nombre.,
34. Quelle est la phrase correcte?,A. Le chapitre trois se trouve à la page quatre-vingt.,B. Le chapitre trois se trouve à la page quatre-vingts.,,,,,,,,34. a. Quatre-vingt s’écrit sans s quand il a la valeur d’un ordinal (page quatre-vingt = la quatre-vingtième page).,
36. Les deux phrases suivantes ont le même sens: vrai ou faux?,A. Je craignais que ce soit grave.,B. Je craignais que ce ne soit grave.,,,,,,,,36. Vrai. Le ne de la subordonnée est appelé explétif; il n’a pas le sens négatif habituel et sa présence est facultative.,
37. Quelle est la construction correcte? (Il y a peut-être plusieurs réponses.),A. crier après quelqu’un,B. crier contre quelqu’un,C. crier sur quelqu’un,,,,,,,"37. b. Quand le verbe contient une idée d’opposition, on le construit",
39. Les deux phrases suivantes sont correctes: vrai ou faux?,A. C’est un endroit que les touristes apprécient beaucoup.,B. C’est un endroit qu’apprécient beaucoup les touristes.,,,,,,,,"39. Vrai. Dans les relatives, le sujet peut précéder ou suivre le verbe.",
42. Laquelle des deux phrases suivantes est correcte?,"A. Jusqu’à là, tout allait bien.","B. Jusque-là, tout allait bien.",,,,,,,,41. Y a-t-il une solution au problème? (Le t qui sert à marquer la liaison est toujours entre deux traits d’union; en revanche pas de trait d’union entre un pronom et le verbe qui le suit: y a.) 42. b.,
47. Quelle est la phrase correcte? (Il y a peut-être plusieurs réponses.),A. Je ne sais pas qu’est-ce qu’il faut faire.,B. Je ne sais pas ce qu’il faut faire.,C. Je ne sais pas ce qui faut faire.,,,,,,,"47. b. La tournure qu’est-ce que ne s’emploie que lorsqu’on pose une question, et un verbe dit impersonnel (un verbe qui ne s’utilise qu’à la 3e personne du singulier, comme falloir) exige la tournure ce qu’il.",
57. Quelle est la phrase correcte? (Il y a peut-être plusieurs réponses.),A. Peut-on avoir confiance aux médias?,B. Peut-on avoir confiance dans les médias?,C. Peut-on avoir confiance en les médias?,,,,,,,"57. b. Avoir confiance se construit avec dans ou en (jamais avec à, mais en ne s’emploie jamais devant les).",
61. Quelle est la phrase correcte?,"A. Si tu le vois, parle-lui-en.","B. Si tu le vois, parle-lui-z-en.","C. Si tu le vois, parles-en-lui.",,,,,,,61. a. Le pronom en est toujours placé après les autres pronoms compléments.,
72. Quelle est la phrase correcte?,A. Je te raccompagnerai jusqu’à chez toi.,B. Je te raccompagnerai jusque chez toi.,,,,,,,,"72. b. Jusque s’emploie le plus souvent avec la préposition à (jusqu’à), mais il peut être employé avec d’autres prépositions (ici, chez), auquel cas à ne peut être employé.",
74. Les deux phrases suivantes sont correctes: vrai ou faux?,A. Cette randonnée n’était pas aussi difficile que je le pensais.,B. Cette randonnée n’était pas aussi difficile que je pensais.,,,,,,,,74. Vrai. On peut reprendre ou non Cette randonnée n’était pas aussi difficile par le pronom le.,
75. Laquelle de ces deux phrases est écrite correctement?,A. Elle arrivera dans une demi-heure.,B. Elle arrivera dans une demie-heure.,,,,,,,,75. a. Demi ne s’accorde jamais lorsqu’il sert à former un nom composé.,
78. Les deux phrases suivantes sont correctes: vrai ou faux?,A. C’est de cela qu’il s’agit.,B. C’est ce dont il s’agit.,,,,,,,,78. Vrai. Les deux constructions sont justes (mais pas *c’est de cela dont il s’agit).,
80. Quelle est la phrase correcte? (Il y a peut-être plusieurs réponses.),A. Lesquelles histoires te plaisent le plus?,B. Lesquelles des histoires te plaisent le plus?,C. Quelles histoires te plaisent le plus?,,,,,,,80. b. et c. Lequel est un pronom: on ne doit pas l’employer comme un déterminant.,
83. Quelle est la phrase correcte? (Il y a peut-être plusieurs réponses.),A. J’en ris aux larmes tellement c’est drôle.,B. J’en ris aux larmes tellement que c’est drôle.,C. C’est tellement drôle que j’en ris aux larmes.,,,,,,,83. a. et c. La phrase b est un télescopage erroné des deux constructions possibles.,
96. Quelle est la phrase correctement écrite?,"A. Quel que soit la nature et la fonction d’un mot, il faut l’écrire sans erreur.","B. Quelques soient la nature et la fonction d’un mot, il faut l’écrire sans erreur.","C. Quelles que soient la nature et la fonction d’un mot, il faut l’écrire sans erreur.",,,,,,,96. c. Le verbe soient et le pronom attribut quelles s’accordent avec le sujet la nature et la fonction.,
"99. Parmi ces mots, lesquels sont mal orthographiés?",A. cathéchèse,B. cathédrale,C. érythème,D. éthymologie,,,,,,"99. a et d. On écrit catéchèse et étymologie, sans h après le t. 100. a. 1",
"103. Quels sont les mots d’un nom composé (ouvre-boîte, va-et-vient, arc-en- ciel, etc.) qui peuvent parfois se mettre au pluriel lorsque le nom composé est au pluriel?",A. les adjectifs,B. les noms,C. les prépositions,D. les verbes,,,,,,"103. a. et b. Seuls les noms et les adjectifs peuvent prendre les marques du pluriel (les prépositions sont des mots toujours invariables, et les verbes ne se mettent pas au pluriel dans les noms composés): des ouvre-boîtes, des va-et-vient, des arcs-en-ciel (attention, quand il y a une préposition, seul le premier nom s’accorde au pluriel).",
116. Quel est le titre correctement écrit?,A. Y-a-t’il un pilote dans l’avion?,B. Y-a-t-il un pilote dans l’avion?,C. Y a-t-il un pilote dans l’avion?,D. Y a-t’il un pilote dans l’avion?,,,,,,116. c. On ne met jamais de trait d’union entre le verbe et le pronom qui le,
120. Quel est le bon pluriel?,A. les terminals intermodaux,B. les terminaux intermodaux,,,,,,,,"120. b. Même si dans ce sens, terminal vient de l’anglais, il n’échappe pas à la règle et forme son pluriel en remplaçant -al par -aux.",
123. Complétez ces noms masculins et chassez l’intrus.,A. un caduc __________,B. un jubil __________,C. un macchab __________,D. un mus __________,E. un troph __________,,,,,B. 1 c. 3,
125. Laquelle de ces indications horaires est correctement écrite?,A. trois heures et demi,B. trois heures et demie,C. trois heures et demies,,,,,,,"125. b. Lorsque et demi suit un nom, demi s’accorde uniquement en genre",
128. Le pluriel révélera l’intrus parmi ces noms. Trouvez-le.,A. cérémonial,B. choral,C. orignal,D. récital,,,,,,"128. c. Contrairement aux trois autres noms qui ont un pluriel en s, orignal a un pluriel en -aux: des orignaux.",
"130. Parmi ces noms, quel est l’intrus?",A. des bijoux,B. des choux,C. des courroux,D. des genoux,,,,,,"130. c. Courroux s’écrit avec un x même au singulier, contrairement à bijou, chou et genou.",
132. Complétez les expressions suivantes avec partie ou parti.,A. tirer __________ de quelque chose,B. faire __________ de quelque chose,,,,,,,,"131. Un rhododendron, (Ce mot s’écrit avec un seul h: il est formé des éléments rhod(o)- qui signifie «rose» et -dendron qui signifie «arbre».) 132. a. tirer parti de quelque chose (penser à tirer grand parti, qui met en évidence le masculin) b. faire partie de quelque chose (penser à faire partie intégrante, qui met en évidence le féminin)",
"135. Parmi ces déterminants (adjectifs numéraux), quel est l’intrus?",A. cent,B. mille,C. vingt,,,,,,,"135. b. Le déterminant mille est toujours invariable (il ne s’écrit donc jamais avec un s), alors que les déterminants cent et vingt doivent dans certains cas prendre le s du pluriel.",
"137. Parmi ces noms, quels sont ceux dont on est sûr qu’ils sont au pluriel?",A. champs,B. puits,C. remords,D. sports,,,,,,"137. a. et d. On écrit au singulier un champ, un sport, sans s. 138. bonbon, bonbonne, bonbonnière, néanmoins, embonpoint, perlimpinpin",
139. Quelle est la phrase correctement écrite?,A. Un tas d’idées lui traverse la tête.,B. Un tas d’idées lui traversent la tête.,,,,,,,,139. b. Ce sont bien les idées qui lui traversent la tête (et non un tas). Un tas n’est pas le sujet de traverser: la locution un tas de a la même valeur qu’un déterminant (on pourrait dire des idées lui traversent la tête).,
144. Laquelle de ces phrases est correctement écrite?,A. Deux demi-heures font une heure.,B. Deux demie-heures font une heure.,C. Deux demies-heures font une heure.,,,,,,,"144. a. Lorsqu’il est placé devant un nom, demi- est un élément adverbial (comme semi-, multi-…): il est donc invariable.",
146. On écrit pâtée avec un e muet final parce que:,B. c’est une exception à la règle des noms féminins en -té,C. il est formé avec le suffixe -ée,,,,,,,,"146. c. On distingue les noms féminins formés (généralement sur un adjectif) avec le suffixe -té (bonté, beauté, générosité…) des noms féminins formés avec le suffixe -ée qui suit le t du radical (dictée, montée, jetée, pâtée…).",
149. Le féminin révélera l’intrus. Trouvez-le.,A. douillet,B. guilleret,C. maigrelet,D. replet,,,,,,"149. d. Dans cette liste, replet est le seul adjectif dont le féminin est en -ète et non en -ette.",
"151. Parmi ces noms, lequel est féminin?",A. argent,B. effluve,C. apostrophe,D. horaire,,,,,,"150. Il faut barrer paire. Le pair de quelqu’un, c’est une personne qui a les mêmes qualités que lui. 151. c.",
153. Quelle est la phrase correctement écrite?,A. Le maire reçoit sur rendez-vous tous les samedi.,B. Le maire reçoit sur rendez-vous tous les samedis.,,,,,,,,"153. b. Les noms qui désignent les jours de la semaine prennent la marque du pluriel, tout comme les autres noms.",
"154. Parmi ces noms, quel est celui dont on ne peut savoir s’il est au singulier ou au pluriel?",A. aveux,B. essieux,C. macareux,D. lieux,,,,,,"154. c. Qu’il soit au singulier ou au pluriel, macareux se termine toujours par un x.",
159. Quelle est la phrase correctement écrite?,A. Aucun des membres de l’équipe n’accepte cette proposition.,B. Aucun des membres de l’équipe n’acceptent cette proposition.,,,,,,,,"159. a. Le verbe s’accorde avec le pronom aucun, qui est son sujet, et non avec membres, qui est complément du pronom.",
"162. Parmi ces noms, lequel est masculin?",A. astérisque,B. volte-face,C. câpre,D. nacre,,,,,,"161. Que sont censées savoir les personnes sensées? (Deux homophones à ne pas confondre: censé est synonyme de supposé, et sensé signifie",
165. Le féminin révélera l’intrus. Trouvez-le.,A. artisan,B. médian,C. paysan,D. roman,,,,,,"165. c. Tous les noms et adjectifs qui se terminent par -an ont un féminin en -ane, sauf paysan qui double le n: paysanne. 166. a. humer b. onéreux c. hormis d. allô e. habitude",
167. Quelle est la phrase correctement écrite?,A. Il a vécu un véritable martyr.,B. Il a vécu un véritable martyre.,,,,,,,,167. b. Martyre s’écrit avec un e final quand il désigne les souffrances.,
174. Consonne muette finale ou pas? À vous de compléter si besoin est.,A. parmi __________,B. un cauchemar __________,C. malgré __________,D. un poid __________,,,,,,173. Faux. Le verbe synonyme de résonner s’écrit tinter. 174. a. parmi b. un cauchemar c. malgré d. un poids,
176. Quelle est la phrase correctement écrite?,A. Prend-elle le train ou l’avion?,B. Prend-t-elle le train ou l’avion?,,,,,,,,"176. a. Un d en finale permet de faire la liaison en [t]. Inutile, donc, de mettre un t entre le verbe et le pronom.",
"178. Parmi ces mots, lesquels portent un accent alors que les règles de l’orthographe ne le permettent pas?",A. chapître,B. cloître,D. goître,,,,,,,178. a. et d. Chapitre et goitre ne portent jamais d’accent circonflexe.,
"184. Complétez chacune des expressions suivantes avec chair, chaire ou chère.",A. faire bonne __________,B. la __________ d’une église,C. de la __________ à saucisse,,,,,,,183. On écrit -ueil- au lieu de -euil- (en inversant le e et le u) lorsque ce groupe de lettres suit un c ou un g qui doivent se prononcer respectivement [k] (comme dans que) et [g] (comme dans gui):,
191. Quelle est la phrase correctement écrite?,A. Je ne sais pas qu’elle est sa décision.,B. Je ne sais pas quelle est sa décision.,,,,,,,,"191. b. Le sujet de est est sa décision. Au masculin, on aurait je ne sais pas quel est son verdict. 192. a. 2",
202. Que diriez-vous?,A. Les soldes estivales sont-elles plus avantageuses que les soldes hivernales?,B. Les soldes estivaux sont-ils plus avantageux que les soldes hivernaux?,,,,,,,,"202. b. Solde est masculin dans ce sens. Dans le même sens, on l’utilise au",
207. Que diriez-vous?,A. Le coriandre a un goût prononcé.,B. La coriandre a un goût prononcé.,,,,,,,,207. b. Coriandre est féminin.,
208. Que diriez-vous?,A. Elle s’est permis de me faire une remarque que je n’ai pas appréciée.,B. Elle s’est permise de me faire une remarque que je n’ai pas appréciée.,,,,,,,,208. a. Il n’y a pas d’accord avec le sujet dans ce cas.,
1. Complétez chaque phrase avec le verbe qui convient.,A. L’artiste esqui __________ le portrait de la vedette.,B. Il esqui __________ toute difficulté qu’il rencontre.,,,,,,,,1. a. L’artiste esquisse le portrait de la vedette. ,
"3. Le vers «Chez le boucher, il a acheté des os» rime avec:",A. des eaux,B. désosse,,,,,,,,3. a. Le s de os ne se prononce pas au pluriel.,
"4. Dans la phrase «Il faut que j’(étiqueter) mes pots de confiture», le verbe rime avec:",A. dicte,B. boulette,,,,,,,,4. b. Étiqueter se conjugue sur le même modèle que feuilleter: j’étiquette ou j’étiquète.,
9. Comment prononce-t-on ces mots?,A. argutie,B. orthodontie,,,,,,,,9. Le terme argutie se prononce toujours avec le son s. Dans le cas de,
"12. Dans l’expression au grand dam de, certains prononcent dam comme",A. familière,B. courante,C. soutenue,,,,,,,12. c. Cette prononciation était la seule en vigueur autrefois.,
13. Que peut-on dire? (Il y a peut-être plusieurs réponses.),A. Elle n’est pas prête de recommencer.,B. Elle n’est pas près de recommencer.,C. Elle n’est pas prête à recommencer.,D. Elle n’est pas près à recommencer.,,,,,,"13. b. et c. On emploie près de ou prêt à, mais pas *près à ni *prêt de.",
16. Que peut-on dire?,A. Il faudrait mieux prendre un parapluie.,B. Il vaudrait mieux prendre un parapluie.,,,,,,,,16. b. Falloir mieux n’a pas de sens.,
18. Quelle est la phrase correcte?,A. Mérite-t-il la punition qu’on lui afflige?,B. Mérite-t-il la punition qu’on lui inflige?,,,,,,,,"18. b. Infliger quelque chose à quelqu’un, c’est lui faire subir quelque",
"23. La première syllabe de ces mots, sauf un, peut se prononcer comme",A. quadrature,B. quasi,C. quadruple,D. quadriphonie,,,,,,23. b. Quasi. (La première syllabe de ce mot se prononce toujours [ka].),
26. Pourquoi déconseille-t-on de dire «car en effet»?,"A. Parce que car et en effet ont le même sens, et c’est donc un pléonasme.",B. Parce qu’on ne peut faire suivre une conjonction (car) par un adverbe (en effet).,,,,,,,,26. a.,
29. Quelle est la phrase correcte?,A. L’équipe a été rassénérée par sa victoire.,B. L’équipe a été rassérénée par sa victoire.,,,,,,,,29. b. Rasséréner est de la même famille que serein.,
"40. Dans pugnace, on prononce gn comme dans:",A. agneau,B. diagnostic,,,,,,,,"40. b. Au Québec, cependant, il est d’usage de prononcer ensemble le g et le n de ce mot.",
42. Quelle est la phrase correcte?,A. C’est ici qu’est né De Champlain.,B. C’est ici qu’est né Champlain.,,,,,,,,"42. b. Dans les noms de famille, de n’est maintenu que lorsqu’il est précédé du prénom ou d’un titre tel que duc, marquis, monsieur, ou encore lorsque le nom n’est composé que d’une syllabe ou qu’il commence par une voyelle ou un h muet.",
"51. Dans les noms qui se terminent pas -isme comme dans régionalisme, le s se prononce comme:",A. un s,B. un z,,,,,,,,"51. a. Avec une diction soignée, on fait entendre [s].",
52. Que doit-on dire?,A. Cet entêté s’est carapaçonné dans ses certitudes.,B. Cet entêté s’est caparaçonné dans ses certitudes.,,,,,,,,52. b. L’adjectif vient de caparaçon (nom qui désigne une armure ou un harnais d’ornement pour les chevaux) et non pas de carapace.,
55. Que doit-on dire?,"A. Eu égard aux circonstances, je ne peux accepter l’offre.","B. En égard aux circonstances, je ne peux accepter l’offre.",,,,,,,,55. a. Eu égard à a le même sens que en considération de.,
56. Le nom carrousel rime avec:,A. sel,B. zèle,,,,,,,,"56. b. Ce nom s’écrit avec un seul s qui se prononce [z] parce qu’il est placé entre deux voyelles (comme désert). Toutefois, l’usage est
flottant, et certains dictionnaires proposent la prononciation en ss.",
57. Sous quel terme désigne-t-on les installations terrestres servant à la circulation aérienne?,A. aéroport,B. aréoport,,,,,,,,57. a.,
"64. Parmi les affirmations suivantes, quelle est la bonne?",A. On doit dire «un acte répréhensible».,B. On doit dire «un acte répréhensif».,C. On peut dire «un acte répréhensible» ou «un acte répréhensif».,,,,,,,"64. c. Un acte répréhensible mérite d’être réprimandé, alors qu’un acte répréhensif est un acte qui réprimande.",
"65. Dans Bruxelles, x se prononce comme le x de:",A. soixante,B. boxe,,,,,,,,"65. a. En Belgique, et dans la langue soignée en France et au Québec, on prononce le x comme un s.",
69. Quelle est l’affirmation juste?,"A. Dans almanach, ch se prononce comme le ch de match.","B. Dans almanach, ch se prononce [k].","C. Dans almanach, ch ne se prononce pas.",,,,,,,69. c. Mais on prononce [k] en liaison (un almanach ancien).,
72. Quelle est la phrase correcte?,A. C’est méritant de sa part.,B. C’est méritoire de sa part.,,,,,,,,"72. b. Méritant s’emploie à propos d’une personne, alors que méritoire s’emploie à propos d’une action.",
74. Quelle figure de style se cache derrière cette maxime de Molière: Il faut manger pour vivre et non vivre pour manger?,A. une anacoluthe,B. un chiasme,C. un euphémisme,,,,,,,74. b. Le chiasme est une figure de style qui consiste à opposer deux,
"81. Parmi ces adjectifs, lequel ne contient pas le préfixe négatif dé-?",A. débonnaire,B. décalé,C. délivré,,,,,,,"81. a. L’adjectif débonnaire vient de l’ancienne expression de bon aire, où aire signifiait «souche, origine, race».",
"1. La flavescence, c’est:",A. une odeur,B. une texture,C. une couleur,,,,,,,"1. c. Ce qui est flavescent est blond, doré. Ne pas confondre avec flaveur, qui est la perception simultanée de l’odeur et du goût d’un aliment. 2. a. une fièvre de cheval b. une faim de loup c. une langue de vipère d. des larmes de crocodile 3. bourdalou (ruban à chapeau) – galure – béret – licorne (mais le bicorne est un chapeau) – bolivar – panama – brodequin (chaussure) – myrte (mais la mitre est une coiffure) – kippa – chapka – cabriolet – tiare – paluche (main)",
